"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Jefferson","Jefferson","WI","Wisconsin","55055","Jefferson","55055","Jefferson","43.0044","-88.8084","8015","531","polygon","FALSE","TRUE","America/Chicago","3","53549","1840003001"
"Spring Valley","Spring Valley","WI","Wisconsin","55093","Pierce","55093","Pierce","44.8500","-92.2443","1372","131","polygon","FALSE","TRUE","America/Chicago","3","54767","1840002282"
"White Lake","White Lake","WI","Wisconsin","55067","Langlade","55067","Langlade","45.1617","-88.7704","347","63","polygon","FALSE","TRUE","America/Chicago","3","54491","1840001566"
"Verona","Verona","WI","Wisconsin","55025","Dane","55025","Dane","42.9884","-89.5381","13107","709","polygon","FALSE","TRUE","America/Chicago","3","53593","1840002903"
"Fox Lake","Fox Lake","WI","Wisconsin","55027","Dodge","55027","Dodge","43.5618","-88.9130","1460","359","polygon","FALSE","TRUE","America/Chicago","3","53933","1840002737"
"Valders","Valders","WI","Wisconsin","55071","Manitowoc","55071","Manitowoc","44.0696","-87.8859","925","248","polygon","FALSE","TRUE","America/Chicago","3","54245","1840002207"
"Wauzeka","Wauzeka","WI","Wisconsin","55023","Crawford","55023","Crawford","43.0851","-90.8995","728","58","polygon","FALSE","TRUE","America/Chicago","3","53826","1840002883"
"Hurley","Hurley","WI","Wisconsin","55051","Iron","55051","Iron","46.4462","-90.1983","1441","172","polygon","FALSE","TRUE","America/Menominee","3","54534","1840001952"
"Madison","Madison","WI","Wisconsin","55025","Dane","55025","Dane","43.0827","-89.3923","439553.0","1250","polygon","FALSE","TRUE","America/Chicago","2","53706 53704 53705 53703 53726 53792 53719 53718 53715 53714 53717 53716 53711 53713 53701 53707 53708 53725 53774 53777 53782 53783 53784 53785 53786 53788 53789 53790 53793 53794","1840002915"
"West Allis","West Allis","WI","Wisconsin","55079","Milwaukee","55079","Milwaukee","43.0068","-88.0296","59934","2033","polygon","FALSE","TRUE","America/Chicago","2","53219 53214 53227","1840003034"
"Maine","Maine","WI","Wisconsin","55073","Marathon","55073","Marathon","45.0503","-89.6823","2348","21","polygon","FALSE","TRUE","America/Chicago","3","54401 54452","1840038104"
"Hustler","Hustler","WI","Wisconsin","55057","Juneau","55057","Juneau","43.8773","-90.2658","189","104","polygon","FALSE","TRUE","America/Chicago","3","54637 54618","1840002226"
"Amery","Amery","WI","Wisconsin","55095","Polk","55095","Polk","45.3045","-92.3635","2754.0","351","polygon","FALSE","TRUE","America/Chicago","3","54001","1840002049"
"Caroline","Caroline","WI","Wisconsin","55115","Shawano","55115","Shawano","44.7220","-88.8948","228","74","polygon","FALSE","FALSE","America/Chicago","3","54928","1840023919"
"Reeseville","Reeseville","WI","Wisconsin","55027","Dodge","55027","Dodge","43.3062","-88.8445","679","419","polygon","FALSE","TRUE","America/Chicago","3","53579","1840002745"
"Iron River","Iron River","WI","Wisconsin","55007","Bayfield","55007","Bayfield","46.5670","-91.4070","764","47","polygon","FALSE","FALSE","America/Chicago","3","54847","1840026071"
"Bagley","Bagley","WI","Wisconsin","55043","Grant","55043","Grant","42.9015","-91.0974","374","197","polygon","FALSE","TRUE","America/Chicago","3","53801","1840002964"
"Gratiot","Gratiot","WI","Wisconsin","55065","Lafayette","55065","Lafayette","42.5801","-90.0235","233","151","polygon","FALSE","TRUE","America/Chicago","3","53541","1840002499"
"Osceola","Osceola","WI","Wisconsin","55095","Polk","55095","Polk","45.3194","-92.6935","3508.0","236","polygon","FALSE","TRUE","America/Chicago","3","54020","1840002057"
"Neopit","Neopit","WI","Wisconsin","55078","Menominee","55078","Menominee","44.9877","-88.8227","908","28","polygon","FALSE","FALSE","America/Chicago","3","54150","1840004030"
"New Glarus","New Glarus","WI","Wisconsin","55045","Green","55045","Green","42.8130","-89.6337","2152","458","polygon","FALSE","TRUE","America/Chicago","3","53574","1840002466"
"Stanley","Stanley","WI","Wisconsin","55017","Chippewa","55017|55019","Chippewa|Clark","44.9597","-90.9424","3499.0","331","polygon","FALSE","TRUE","America/Chicago","3","54768","1840002105"
"Stetsonville","Stetsonville","WI","Wisconsin","55119","Taylor","55119","Taylor","45.0772","-90.3143","520","513","polygon","FALSE","TRUE","America/Chicago","3","54480","1840001568"
"Montello","Montello","WI","Wisconsin","55077","Marquette","55077","Marquette","43.7938","-89.3336","1445","292","polygon","FALSE","TRUE","America/Chicago","3","53949","1840002595"
"Prentice","Prentice","WI","Wisconsin","55099","Price","55099","Price","45.5408","-90.2898","612","117","polygon","FALSE","TRUE","America/Chicago","3","54556","1840002012"
"Mondovi","Mondovi","WI","Wisconsin","55011","Buffalo","55011","Buffalo","44.5712","-91.6667","2632","265","polygon","FALSE","TRUE","America/Chicago","3","54755","1840002381"
"Herbster","Herbster","WI","Wisconsin","55007","Bayfield","55007","Bayfield","46.8421","-91.2419","87","6","polygon","FALSE","FALSE","America/Chicago","3","54844","1840026070"
"Clayton","Clayton","WI","Wisconsin","55095","Polk","55095","Polk","45.3260","-92.1710","550","65","polygon","FALSE","TRUE","America/Chicago","3","54004","1840002052"
"Como","Como","WI","Wisconsin","55127","Walworth","55127","Walworth","42.6114","-88.4914","2479","266","polygon","FALSE","FALSE","America/Chicago","3","53147","1840004478"
"Brown Deer","Brown Deer","WI","Wisconsin","55079","Milwaukee","55079","Milwaukee","43.1743","-87.9750","11964","1050","polygon","FALSE","TRUE","America/Chicago","3","53209 53223","1840003041"
"Woodruff","Woodruff","WI","Wisconsin","55085","Oneida","55085","Oneida","45.8946","-89.6913","605","165","polygon","FALSE","FALSE","America/Chicago","3","54568","1840025295"
